Symbol name				hex		dec		Description
VK_OEM_PA1				EB		235		Only used by Nokia.
VK_OEM_PA2				EC		236		Only used by Nokia.
VK_OEM_PA3				ED		237		Only used by Nokia.
VK_OEM_WSCTRL			EE		238		Only used by Nokia.
VK_OEM_CUSEL			EF		239		Only used by Nokia.
VK_OEM_ATTN				F0		240		Only used by Nokia.
VK_OEM_FINNISH			F1		241		Only used by Nokia.
VK_OEM_COPY				F2		242		Only used by Nokia.
VK_OEM_AUTO				F3		243		Only used by Nokia.
VK_OEM_ENLW				F4		244		Only used by Nokia.
VK_OEM_BACKTAB			F5		245		Only used by Nokia.
VK_ATTN					F6		246		Attn key
VK_CRSEL				F7		247		CrSel key
VK_EXSEL				F8		248		ExSel key
VK_EREOF				F9		249		Erase EOF key
VK_PLAY					FA		250		Play key
VK_ZOOM					FB		251		Zoom key
VK_NONAME				FC		252		Reserved for future use.
VK_PA1					FD		253		PA1 key
VK_OEM_CLEAR			FE		254		Clear key
						FF		255		Multimedia keys.
	
